"Time (UTCG)","Effective Area (m^2)","Solar Intensity"
1 Jul 2024 00:00:00.000,0.000000,0.000000
1 Jul 2024 00:00:10.000,0.000000,0.000000
1 Jul 2024 00:00:20.000,0.000000,0.000000
1 Jul 2024 00:00:30.000,0.000000,0.000000
1 Jul 2024 00:00:40.000,0.000000,0.000000
1 Jul 2024 00:00:50.000,0.000000,0.000000
1 Jul 2024 00:01:00.000,0.000000,0.000000
1 Jul 2024 00:01:10.000,0.000000,0.000000
1 Jul 2024 00:01:20.000,0.000000,0.000000
1 Jul 2024 00:01:30.000,0.000000,0.000000
1 Jul 2024 00:01:40.000,0.000000,0.000000
1 Jul 2024 00:01:50.000,0.000000,0.000000
1 Jul 2024 00:02:00.000,0.000000,0.000000
1 Jul 2024 00:02:10.000,0.000000,0.000000
1 Jul 2024 00:02:20.000,0.000000,0.000000
1 Jul 2024 00:02:30.000,0.000000,0.000000
1 Jul 2024 00:02:40.000,0.000000,0.000000
1 Jul 2024 00:02:50.000,0.000000,0.000000
1 Jul 2024 00:03:00.000,0.000000,0.000000
1 Jul 2024 00:03:10.000,0.000000,0.000000
1 Jul 2024 00:03:20.000,0.000000,0.000000
1 Jul 2024 00:03:30.000,0.000000,0.000000
1 Jul 2024 00:03:40.000,0.000000,0.000000
1 Jul 2024 00:03:50.000,0.000000,0.000000
1 Jul 2024 00:04:00.000,0.000000,0.000000
1 Jul 2024 00:04:10.000,0.000000,0.000000
1 Jul 2024 00:04:20.000,0.000000,0.000000
1 Jul 2024 00:04:30.000,0.000000,0.000000
1 Jul 2024 00:04:40.000,0.000000,0.000000
1 Jul 2024 00:04:50.000,0.000000,0.000000
1 Jul 2024 00:05:00.000,0.000000,0.000000
1 Jul 2024 00:05:10.000,0.000000,0.000000
1 Jul 2024 00:05:20.000,0.000000,0.000000
1 Jul 2024 00:05:30.000,0.000000,0.000000
1 Jul 2024 00:05:40.000,0.000000,0.000000
1 Jul 2024 00:05:50.000,0.000000,0.000000
1 Jul 2024 00:06:00.000,0.000000,0.000000
1 Jul 2024 00:06:10.000,0.000000,0.000000
1 Jul 2024 00:06:20.000,0.000000,0.000000
1 Jul 2024 00:06:30.000,0.000000,0.000000
1 Jul 2024 00:06:40.000,0.000000,0.000000
1 Jul 2024 00:06:50.000,0.000000,0.000000
1 Jul 2024 00:07:00.000,0.000000,0.000000
1 Jul 2024 00:07:10.000,0.000000,0.000000
1 Jul 2024 00:07:20.000,0.000000,0.000000
1 Jul 2024 00:07:30.000,0.000000,0.000000
1 Jul 2024 00:07:40.000,0.000000,0.000000
1 Jul 2024 00:07:50.000,0.000000,0.000000
1 Jul 2024 00:08:00.000,0.000000,0.000000
1 Jul 2024 00:08:10.000,0.000000,0.000000
1 Jul 2024 00:08:20.000,0.000000,0.000000
1 Jul 2024 00:08:30.000,0.000000,0.000000
1 Jul 2024 00:08:40.000,0.000000,0.000000
1 Jul 2024 00:08:50.000,0.000000,0.000000
1 Jul 2024 00:09:00.000,0.000000,0.000000
1 Jul 2024 00:09:10.000,0.000000,0.000000
1 Jul 2024 00:09:20.000,0.000000,0.000000
1 Jul 2024 00:09:30.000,0.000000,0.000000
1 Jul 2024 00:09:40.000,0.000000,0.000000
1 Jul 2024 00:09:50.000,0.000000,0.000000
1 Jul 2024 00:10:00.000,0.000000,0.000000
1 Jul 2024 00:10:10.000,0.000000,0.000000
1 Jul 2024 00:10:20.000,0.000000,0.000000
1 Jul 2024 00:10:30.000,0.000000,0.000000
1 Jul 2024 00:10:40.000,0.000000,0.000000
1 Jul 2024 00:10:50.000,0.000000,0.000000
1 Jul 2024 00:11:00.000,0.005213,0.224064
1 Jul 2024 00:11:10.000,0.005343,1.000000
1 Jul 2024 00:11:20.000,0.014141,1.000000
1 Jul 2024 00:11:30.000,0.020306,1.000000
1 Jul 2024 00:11:40.000,0.023606,1.000000
1 Jul 2024 00:11:50.000,0.015045,1.000000
1 Jul 2024 00:12:00.000,0.006461,1.000000
1 Jul 2024 00:12:10.000,0.010980,1.000000
1 Jul 2024 00:12:20.000,0.009474,1.000000
1 Jul 2024 00:12:30.000,0.000962,1.000000
1 Jul 2024 00:12:40.000,0.009508,1.000000
1 Jul 2024 00:12:50.000,0.016603,1.000000
1 Jul 2024 00:13:00.000,0.023170,1.000000
1 Jul 2024 00:13:10.000,0.021302,1.000000
1 Jul 2024 00:13:20.000,0.008493,1.000000
1 Jul 2024 00:13:30.000,0.008054,1.000000
1 Jul 2024 00:13:40.000,0.011364,1.000000
1 Jul 2024 00:13:50.000,0.006404,1.000000
1 Jul 2024 00:14:00.000,0.003970,1.000000
1 Jul 2024 00:14:10.000,0.013113,1.000000
