"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jul 2024 00:00:00.000,-627.334334,-6841.611724,0.024237,-0.974309,0.089365,7.554227
1 Jul 2024 00:00:10.000,-637.038609,-6840.297032,75.564949,-0.966526,0.173571,7.553761
1 Jul 2024 00:00:20.000,-646.664467,-6838.140382,151.096340,-0.958625,0.257755,7.552362
1 Jul 2024 00:00:30.000,-656.210723,-6835.142040,226.609086,-0.950606,0.341907,7.550032
1 Jul 2024 00:00:40.000,-665.676203,-6831.302378,302.093867,-0.942470,0.426017,7.546769
1 Jul 2024 00:00:50.000,-675.059741,-6826.621871,377.541365,-0.934218,0.510074,7.542575
1 Jul 2024 00:01:00.000,-684.360184,-6821.101099,452.942269,-0.925851,0.594068,7.537450
1 Jul 2024 00:01:10.000,-693.576387,-6814.740748,528.287270,-0.917370,0.677989,7.531395
1 Jul 2024 00:01:20.000,-702.707216,-6807.541607,603.567071,-0.908777,0.761825,7.524410
1 Jul 2024 00:01:30.000,-711.751548,-6799.504569,678.772380,-0.900071,0.845566,7.516497
1 Jul 2024 00:01:40.000,-720.708270,-6790.630632,753.893915,-0.891255,0.929203,7.507656
1 Jul 2024 00:01:50.000,-729.576282,-6780.920897,828.922405,-0.882329,1.012724,7.497888
1 Jul 2024 00:02:00.000,-738.354493,-6770.376569,903.848591,-0.873295,1.096120,7.487195
1 Jul 2024 00:02:10.000,-747.041823,-6758.998958,978.663227,-0.864153,1.179379,7.475578
1 Jul 2024 00:02:20.000,-755.637205,-6746.789475,1053.357080,-0.854905,1.262492,7.463039
1 Jul 2024 00:02:30.000,-764.139583,-6733.749638,1127.920933,-0.845553,1.345448,7.449579
1 Jul 2024 00:02:40.000,-772.547911,-6719.881064,1202.345587,-0.836096,1.428238,7.435199
1 Jul 2024 00:02:50.000,-780.861156,-6705.185476,1276.621858,-0.826536,1.510850,7.419902
1 Jul 2024 00:03:00.000,-789.078298,-6689.664699,1350.740582,-0.816875,1.593274,7.403690
1 Jul 2024 00:03:10.000,-797.198327,-6673.320658,1424.692616,-0.807114,1.675500,7.386565
1 Jul 2024 00:03:20.000,-805.220247,-6656.155384,1498.468838,-0.797253,1.757519,7.368528
1 Jul 2024 00:03:30.000,-813.143071,-6638.171006,1572.060145,-0.787295,1.839319,7.349582
1 Jul 2024 00:03:40.000,-820.965828,-6619.369759,1645.457462,-0.777240,1.920891,7.329730
