"Time (UTCG)","Power (W)","Solar Intensity"
1 Jul 2024 00:00:00.000,0.000,0.000000
1 Jul 2024 00:00:10.000,0.000,0.000000
1 Jul 2024 00:00:20.000,0.000,0.000000
1 Jul 2024 00:00:30.000,0.000,0.000000
1 Jul 2024 00:00:40.000,0.000,0.000000
1 Jul 2024 00:00:50.000,0.000,0.000000
1 Jul 2024 00:01:00.000,0.000,0.000000
1 Jul 2024 00:01:10.000,0.000,0.000000
1 Jul 2024 00:01:20.000,0.000,0.000000
1 Jul 2024 00:01:30.000,0.000,0.000000
1 Jul 2024 00:01:40.000,0.000,0.000000
1 Jul 2024 00:01:50.000,0.000,0.000000
1 Jul 2024 00:02:00.000,0.000,0.000000
1 Jul 2024 00:02:10.000,0.000,0.000000
1 Jul 2024 00:02:20.000,0.000,0.000000
1 Jul 2024 00:02:30.000,0.000,0.000000
1 Jul 2024 00:02:40.000,0.000,0.000000
1 Jul 2024 00:02:50.000,0.000,0.000000
1 Jul 2024 00:03:00.000,0.000,0.000000
1 Jul 2024 00:03:10.000,0.000,0.000000
1 Jul 2024 00:03:20.000,0.000,0.000000
1 Jul 2024 00:03:30.000,0.000,0.000000
1 Jul 2024 00:03:40.000,0.000,0.000000
1 Jul 2024 00:03:50.000,0.000,0.000000
1 Jul 2024 00:04:00.000,0.000,0.000000
1 Jul 2024 00:04:10.000,0.000,0.000000
1 Jul 2024 00:04:20.000,0.000,0.000000
1 Jul 2024 00:04:30.000,0.000,0.000000
1 Jul 2024 00:04:40.000,0.000,0.000000
1 Jul 2024 00:04:50.000,0.000,0.000000
1 Jul 2024 00:05:00.000,0.000,0.000000
1 Jul 2024 00:05:10.000,0.000,0.000000
1 Jul 2024 00:05:20.000,0.000,0.000000
1 Jul 2024 00:05:30.000,0.000,0.000000
1 Jul 2024 00:05:40.000,0.000,0.000000
1 Jul 2024 00:05:50.000,0.000,0.000000
1 Jul 2024 00:06:00.000,0.000,0.000000
1 Jul 2024 00:06:10.000,0.000,0.000000
1 Jul 2024 00:06:20.000,0.000,0.000000
1 Jul 2024 00:06:30.000,0.000,0.000000
1 Jul 2024 00:06:40.000,0.000,0.000000
1 Jul 2024 00:06:50.000,0.000,0.000000
1 Jul 2024 00:07:00.000,0.000,0.000000
1 Jul 2024 00:07:10.000,0.000,0.000000
1 Jul 2024 00:07:20.000,0.000,0.000000
1 Jul 2024 00:07:30.000,0.000,0.000000
1 Jul 2024 00:07:40.000,0.000,0.000000
1 Jul 2024 00:07:50.000,0.000,0.000000
1 Jul 2024 00:08:00.000,0.000,0.000000
1 Jul 2024 00:08:10.000,0.000,0.000000
1 Jul 2024 00:08:20.000,0.000,0.000000
1 Jul 2024 00:08:30.000,0.000,0.000000
1 Jul 2024 00:08:40.000,0.000,0.000000
1 Jul 2024 00:08:50.000,0.000,0.000000
1 Jul 2024 00:09:00.000,0.000,0.000000
1 Jul 2024 00:09:10.000,0.000,0.000000
1 Jul 2024 00:09:20.000,0.000,0.000000
1 Jul 2024 00:09:30.000,0.000,0.000000
1 Jul 2024 00:09:40.000,0.000,0.000000
1 Jul 2024 00:09:50.000,0.000,0.000000
1 Jul 2024 00:10:00.000,0.000,0.000000
1 Jul 2024 00:10:10.000,0.000,0.000000
1 Jul 2024 00:10:20.000,0.000,0.000000
1 Jul 2024 00:10:30.000,0.000,0.000000
1 Jul 2024 00:10:40.000,0.000,0.000000
1 Jul 2024 00:10:50.000,0.000,0.000000
1 Jul 2024 00:11:00.000,0.454,0.224064
1 Jul 2024 00:11:10.000,2.079,1.000000
1 Jul 2024 00:11:20.000,5.502,1.000000
1 Jul 2024 00:11:30.000,7.900,1.000000
1 Jul 2024 00:11:40.000,9.184,1.000000
1 Jul 2024 00:11:50.000,5.853,1.000000
1 Jul 2024 00:12:00.000,2.514,1.000000
1 Jul 2024 00:12:10.000,4.272,1.000000
1 Jul 2024 00:12:20.000,3.686,1.000000
1 Jul 2024 00:12:30.000,0.374,1.000000
1 Jul 2024 00:12:40.000,3.699,1.000000
1 Jul 2024 00:12:50.000,6.459,1.000000
1 Jul 2024 00:13:00.000,9.014,1.000000
1 Jul 2024 00:13:10.000,8.287,1.000000
1 Jul 2024 00:13:20.000,3.304,1.000000
1 Jul 2024 00:13:30.000,3.133,1.000000
1 Jul 2024 00:13:40.000,4.421,1.000000
1 Jul 2024 00:13:50.000,2.491,1.000000
1 Jul 2024 00:14:00.000,1.544,1.000000
1 Jul 2024 00:14:10.000,5.102,1.000000
1 Jul 2024 00:14:20.000,7.365,1.000000
1 Jul 2024 00:14:30.000,9.297,1.000000
