"Time (UTCG)","Effective Area (m^2)","Solar Intensity"
1 Jul 2024 00:00:00.000,0.008307,1.000000
1 Jul 2024 00:00:10.000,0.007158,1.000000
1 Jul 2024 00:00:20.000,0.016295,1.000000
1 Jul 2024 00:00:30.000,0.013878,1.000000
1 Jul 2024 00:00:40.000,0.015989,1.000000
1 Jul 2024 00:00:50.000,0.008285,1.000000
1 Jul 2024 00:01:00.000,0.006259,1.000000
1 Jul 2024 00:01:10.000,0.015088,1.000000
1 Jul 2024 00:01:20.000,0.013790,1.000000
1 Jul 2024 00:01:30.000,0.015468,1.000000
1 Jul 2024 00:01:40.000,0.008295,1.000000
1 Jul 2024 00:01:50.000,0.005328,1.000000
1 Jul 2024 00:02:00.000,0.013833,1.000000
1 Jul 2024 00:02:10.000,0.013664,1.000000
1 Jul 2024 00:02:20.000,0.014920,1.000000
1 Jul 2024 00:02:30.000,0.008291,1.000000
1 Jul 2024 00:02:40.000,0.004372,1.000000
1 Jul 2024 00:02:50.000,0.012516,1.000000
1 Jul 2024 00:03:00.000,0.013542,1.000000
1 Jul 2024 00:03:10.000,0.014361,1.000000
1 Jul 2024 00:03:20.000,0.008293,1.000000
1 Jul 2024 00:03:30.000,0.003396,1.000000
1 Jul 2024 00:03:40.000,0.011559,1.000000
1 Jul 2024 00:03:50.000,0.013453,1.000000
1 Jul 2024 00:04:00.000,0.013790,1.000000
1 Jul 2024 00:04:10.000,0.008289,1.000000
1 Jul 2024 00:04:20.000,0.002423,1.000000
1 Jul 2024 00:04:30.000,0.010902,1.000000
1 Jul 2024 00:04:40.000,0.013400,1.000000
1 Jul 2024 00:04:50.000,0.013201,1.000000
1 Jul 2024 00:05:00.000,0.008287,1.000000
1 Jul 2024 00:05:10.000,0.001400,1.000000
1 Jul 2024 00:05:20.000,0.010249,1.000000
1 Jul 2024 00:05:30.000,0.013252,1.000000
1 Jul 2024 00:05:40.000,0.012596,1.000000
1 Jul 2024 00:05:50.000,0.008282,1.000000
1 Jul 2024 00:06:00.000,0.000368,1.000000
1 Jul 2024 00:06:10.000,0.009594,1.000000
1 Jul 2024 00:06:20.000,0.013143,1.000000
1 Jul 2024 00:06:30.000,0.011996,1.000000
1 Jul 2024 00:06:40.000,0.008302,1.000000
1 Jul 2024 00:06:50.000,0.001053,1.000000
1 Jul 2024 00:07:00.000,0.008947,1.000000
1 Jul 2024 00:07:10.000,0.013029,1.000000
1 Jul 2024 00:07:20.000,0.011387,1.000000
1 Jul 2024 00:07:30.000,0.008313,1.000000
1 Jul 2024 00:07:40.000,0.001959,1.000000
1 Jul 2024 00:07:50.000,0.008305,1.000000
1 Jul 2024 00:08:00.000,0.012907,1.000000
1 Jul 2024 00:08:10.000,0.010776,1.000000
1 Jul 2024 00:08:20.000,0.008393,1.000000
1 Jul 2024 00:08:30.000,0.002826,1.000000
1 Jul 2024 00:08:40.000,0.007659,1.000000
1 Jul 2024 00:08:50.000,0.012807,1.000000
1 Jul 2024 00:09:00.000,0.010189,1.000000
1 Jul 2024 00:09:10.000,0.009370,1.000000
1 Jul 2024 00:09:20.000,0.003714,1.000000
1 Jul 2024 00:09:30.000,0.007013,1.000000
1 Jul 2024 00:09:40.000,0.012679,1.000000
1 Jul 2024 00:09:50.000,0.009589,1.000000
1 Jul 2024 00:10:00.000,0.010341,1.000000
1 Jul 2024 00:10:10.000,0.004620,1.000000
1 Jul 2024 00:10:20.000,0.006371,1.000000
1 Jul 2024 00:10:30.000,0.012560,1.000000
1 Jul 2024 00:10:40.000,0.009004,1.000000
1 Jul 2024 00:10:50.000,0.011260,1.000000
1 Jul 2024 00:11:00.000,0.005509,1.000000
1 Jul 2024 00:11:10.000,0.005730,1.000000
1 Jul 2024 00:11:20.000,0.012414,1.000000
1 Jul 2024 00:11:30.000,0.010196,1.000000
1 Jul 2024 00:11:40.000,0.012210,1.000000
1 Jul 2024 00:11:50.000,0.006385,1.000000
1 Jul 2024 00:12:00.000,0.005098,1.000000
1 Jul 2024 00:12:10.000,0.012322,1.000000
1 Jul 2024 00:12:20.000,0.011507,1.000000
1 Jul 2024 00:12:30.000,0.013123,1.000000
1 Jul 2024 00:12:40.000,0.007262,1.000000
1 Jul 2024 00:12:50.000,0.004474,1.000000
1 Jul 2024 00:13:00.000,0.012172,1.000000
1 Jul 2024 00:13:10.000,0.012765,1.000000
1 Jul 2024 00:13:20.000,0.014018,1.000000
1 Jul 2024 00:13:30.000,0.008109,1.000000
1 Jul 2024 00:13:40.000,0.003855,1.000000
1 Jul 2024 00:13:50.000,0.012112,1.000000
1 Jul 2024 00:14:00.000,0.014006,1.000000
1 Jul 2024 00:14:10.000,0.014907,1.000000
1 Jul 2024 00:14:20.000,0.008936,1.000000
1 Jul 2024 00:14:30.000,0.003267,1.000000
1 Jul 2024 00:14:40.000,0.012639,1.000000
1 Jul 2024 00:14:50.000,0.015254,1.000000
1 Jul 2024 00:15:00.000,0.015760,1.000000
1 Jul 2024 00:15:10.000,0.009755,1.000000
1 Jul 2024 00:15:20.000,0.002714,1.000000
1 Jul 2024 00:15:30.000,0.013198,1.000000
1 Jul 2024 00:15:40.000,0.016455,1.000000
1 Jul 2024 00:15:50.000,0.016597,1.000000
1 Jul 2024 00:16:00.000,0.010564,1.000000
1 Jul 2024 00:16:10.000,0.002166,1.000000
1 Jul 2024 00:16:20.000,0.013745,1.000000
1 Jul 2024 00:16:30.000,0.017607,1.000000
1 Jul 2024 00:16:40.000,0.017405,1.000000
1 Jul 2024 00:16:50.000,0.011263,1.000000
1 Jul 2024 00:17:00.000,0.001614,1.000000
1 Jul 2024 00:17:10.000,0.014275,1.000000
1 Jul 2024 00:17:20.000,0.018720,1.000000
1 Jul 2024 00:17:30.000,0.018172,1.000000
1 Jul 2024 00:17:40.000,0.012015,1.000000
1 Jul 2024 00:17:50.000,0.001102,1.000000
1 Jul 2024 00:18:00.000,0.014740,1.000000
1 Jul 2024 00:18:10.000,0.019768,1.000000
1 Jul 2024 00:18:20.000,0.018904,1.000000
1 Jul 2024 00:18:30.000,0.012681,1.000000
1 Jul 2024 00:18:40.000,0.000625,1.000000
1 Jul 2024 00:18:50.000,0.015235,1.000000
1 Jul 2024 00:19:00.000,0.020788,1.000000
1 Jul 2024 00:19:10.000,0.019583,1.000000
1 Jul 2024 00:19:20.000,0.013343,1.000000
1 Jul 2024 00:19:30.000,0.000501,1.000000
1 Jul 2024 00:19:40.000,0.015686,1.000000
1 Jul 2024 00:19:50.000,0.021740,1.000000
