"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jul 2024 00:00:00.000,-627.334335,-6841.611724,0.023783,-0.974310,0.089365,7.554226
1 Jul 2024 00:00:10.000,-637.038626,-6840.297035,75.564494,-0.966528,0.173570,7.553760
1 Jul 2024 00:00:20.000,-646.664501,-6838.140389,151.095883,-0.958627,0.257755,7.552362
1 Jul 2024 00:00:30.000,-656.210773,-6835.142050,226.608627,-0.950608,0.341907,7.550031
1 Jul 2024 00:00:40.000,-665.676270,-6831.302392,302.093406,-0.942472,0.426017,7.546769
1 Jul 2024 00:00:50.000,-675.059825,-6826.621888,377.540902,-0.934220,0.510074,7.542575
1 Jul 2024 00:01:00.000,-684.360285,-6821.101120,452.941804,-0.925853,0.594068,7.537450
1 Jul 2024 00:01:10.000,-693.576504,-6814.740773,528.286804,-0.917372,0.677988,7.531395
1 Jul 2024 00:01:20.000,-702.707350,-6807.541635,603.566603,-0.908778,0.761824,7.524410
1 Jul 2024 00:01:30.000,-711.751699,-6799.504601,678.771910,-0.900073,0.845566,7.516497
1 Jul 2024 00:01:40.000,-720.708438,-6790.630667,753.893444,-0.891257,0.929203,7.507656
1 Jul 2024 00:01:50.000,-729.576467,-6780.920935,828.921932,-0.882331,1.012724,7.497888
1 Jul 2024 00:02:00.000,-738.354694,-6770.376610,903.848117,-0.873297,1.096119,7.487195
1 Jul 2024 00:02:10.000,-747.042041,-6758.999003,978.662751,-0.864155,1.179379,7.475578
1 Jul 2024 00:02:20.000,-755.637439,-6746.789524,1053.356603,-0.854907,1.262492,7.463039
1 Jul 2024 00:02:30.000,-764.139833,-6733.749690,1127.920455,-0.845554,1.345448,7.449578
1 Jul 2024 00:02:40.000,-772.548178,-6719.881119,1202.345107,-0.836097,1.428237,7.435199
1 Jul 2024 00:02:50.000,-780.861440,-6705.185535,1276.621377,-0.826538,1.510849,7.419902
1 Jul 2024 00:03:00.000,-789.078598,-6689.664761,1350.740100,-0.816877,1.593274,7.403690
1 Jul 2024 00:03:10.000,-797.198644,-6673.320723,1424.692133,-0.807116,1.675500,7.386565
1 Jul 2024 00:03:20.000,-805.220579,-6656.155452,1498.468353,-0.797255,1.757519,7.368528
1 Jul 2024 00:03:30.000,-813.143420,-6638.171078,1572.059660,-0.787297,1.839319,7.349582
1 Jul 2024 00:03:40.000,-820.966193,-6619.369834,1645.456976,-0.777242,1.920891,7.329730
1 Jul 2024 00:03:50.000,-828.687939,-6599.754054,1718.651250,-0.767092,2.002225,7.308974
1 Jul 2024 00:04:00.000,-836.307710,-6579.326172,1791.633454,-0.756847,2.083310,7.287317
1 Jul 2024 00:04:10.000,-843.824572,-6558.088724,1864.394589,-0.746510,2.164136,7.264761
1 Jul 2024 00:04:20.000,-851.237602,-6536.044347,1936.925683,-0.736081,2.244694,7.241309
1 Jul 2024 00:04:30.000,-858.545892,-6513.195774,2009.217794,-0.725562,2.324973,7.216965
1 Jul 2024 00:04:40.000,-865.748545,-6489.545843,2081.262008,-0.714954,2.404964,7.191730
1 Jul 2024 00:04:50.000,-872.844679,-6465.097488,2153.049446,-0.704258,2.484656,7.165610
1 Jul 2024 00:05:00.000,-879.833424,-6439.853742,2224.571259,-0.693476,2.564041,7.138606
1 Jul 2024 00:05:10.000,-886.713924,-6413.817737,2295.818632,-0.682610,2.643107,7.110722
1 Jul 2024 00:05:20.000,-893.485337,-6386.992703,2366.782784,-0.671659,2.721845,7.081962
1 Jul 2024 00:05:30.000,-900.146832,-6359.381968,2437.454973,-0.660626,2.800245,7.052330
1 Jul 2024 00:05:40.000,-906.697595,-6330.988955,2507.826490,-0.649513,2.878299,7.021829
1 Jul 2024 00:05:50.000,-913.136824,-6301.817186,2577.888665,-0.638320,2.955995,6.990463
1 Jul 2024 00:06:00.000,-919.463731,-6271.870280,2647.632870,-0.627049,3.033325,6.958235
1 Jul 2024 00:06:10.000,-925.677543,-6241.151947,2717.050514,-0.615701,3.110278,6.925151
1 Jul 2024 00:06:20.000,-931.777498,-6209.665998,2786.133047,-0.604278,3.186846,6.891214
1 Jul 2024 00:06:30.000,-937.762853,-6177.416335,2854.871964,-0.592781,3.263020,6.856428
1 Jul 2024 00:06:40.000,-943.632874,-6144.406955,2923.258801,-0.581212,3.338788,6.820799
1 Jul 2024 00:06:50.000,-949.386846,-6110.641949,2991.285140,-0.569571,3.414143,6.784329
1 Jul 2024 00:07:00.000,-955.024066,-6076.125500,3058.942606,-0.557861,3.489075,6.747025
1 Jul 2024 00:07:10.000,-960.543845,-6040.861886,3126.222874,-0.546083,3.563575,6.708890
1 Jul 2024 00:07:20.000,-965.945510,-6004.855474,3193.117664,-0.534239,3.637633,6.669930
1 Jul 2024 00:07:30.000,-971.228402,-5968.110724,3259.618745,-0.522329,3.711241,6.630149
1 Jul 2024 00:07:40.000,-976.391877,-5930.632187,3325.717935,-0.510356,3.784389,6.589553
1 Jul 2024 00:07:50.000,-981.435306,-5892.424504,3391.407103,-0.498320,3.857069,6.548146
1 Jul 2024 00:08:00.000,-986.358074,-5853.492404,3456.678171,-0.486224,3.929271,6.505934
