"Time (UTCG)","Power (W)","Solar Intensity"
1 Jul 2024 00:00:00.000,3.232,1.000000
1 Jul 2024 00:00:10.000,2.785,1.000000
1 Jul 2024 00:00:20.000,6.340,1.000000
1 Jul 2024 00:00:30.000,5.399,1.000000
1 Jul 2024 00:00:40.000,6.220,1.000000
1 Jul 2024 00:00:50.000,3.223,1.000000
1 Jul 2024 00:01:00.000,2.435,1.000000
1 Jul 2024 00:01:10.000,5.870,1.000000
1 Jul 2024 00:01:20.000,5.365,1.000000
1 Jul 2024 00:01:30.000,6.018,1.000000
1 Jul 2024 00:01:40.000,3.227,1.000000
1 Jul 2024 00:01:50.000,2.073,1.000000
1 Jul 2024 00:02:00.000,5.382,1.000000
1 Jul 2024 00:02:10.000,5.316,1.000000
1 Jul 2024 00:02:20.000,5.804,1.000000
1 Jul 2024 00:02:30.000,3.226,1.000000
1 Jul 2024 00:02:40.000,1.701,1.000000
1 Jul 2024 00:02:50.000,4.869,1.000000
1 Jul 2024 00:03:00.000,5.269,1.000000
1 Jul 2024 00:03:10.000,5.587,1.000000
1 Jul 2024 00:03:20.000,3.226,1.000000
1 Jul 2024 00:03:30.000,1.321,1.000000
1 Jul 2024 00:03:40.000,4.497,1.000000
1 Jul 2024 00:03:50.000,5.234,1.000000
1 Jul 2024 00:04:00.000,5.365,1.000000
1 Jul 2024 00:04:10.000,3.225,1.000000
1 Jul 2024 00:04:20.000,0.943,1.000000
1 Jul 2024 00:04:30.000,4.241,1.000000
1 Jul 2024 00:04:40.000,5.213,1.000000
1 Jul 2024 00:04:50.000,5.136,1.000000
1 Jul 2024 00:05:00.000,3.224,1.000000
1 Jul 2024 00:05:10.000,0.544,1.000000
1 Jul 2024 00:05:20.000,3.988,1.000000
1 Jul 2024 00:05:30.000,5.156,1.000000
1 Jul 2024 00:05:40.000,4.901,1.000000
1 Jul 2024 00:05:50.000,3.222,1.000000
1 Jul 2024 00:06:00.000,0.143,1.000000
1 Jul 2024 00:06:10.000,3.732,1.000000
1 Jul 2024 00:06:20.000,5.113,1.000000
1 Jul 2024 00:06:30.000,4.667,1.000000
1 Jul 2024 00:06:40.000,3.230,1.000000
1 Jul 2024 00:06:50.000,0.410,1.000000
1 Jul 2024 00:07:00.000,3.481,1.000000
1 Jul 2024 00:07:10.000,5.069,1.000000
1 Jul 2024 00:07:20.000,4.430,1.000000
1 Jul 2024 00:07:30.000,3.234,1.000000
1 Jul 2024 00:07:40.000,0.762,1.000000
1 Jul 2024 00:07:50.000,3.231,1.000000
1 Jul 2024 00:08:00.000,5.021,1.000000
1 Jul 2024 00:08:10.000,4.192,1.000000
1 Jul 2024 00:08:20.000,3.265,1.000000
1 Jul 2024 00:08:30.000,1.099,1.000000
1 Jul 2024 00:08:40.000,2.980,1.000000
1 Jul 2024 00:08:50.000,4.983,1.000000
1 Jul 2024 00:09:00.000,3.964,1.000000
1 Jul 2024 00:09:10.000,3.646,1.000000
1 Jul 2024 00:09:20.000,1.445,1.000000
1 Jul 2024 00:09:30.000,2.728,1.000000
1 Jul 2024 00:09:40.000,4.933,1.000000
1 Jul 2024 00:09:50.000,3.731,1.000000
1 Jul 2024 00:10:00.000,4.023,1.000000
1 Jul 2024 00:10:10.000,1.797,1.000000
1 Jul 2024 00:10:20.000,2.479,1.000000
1 Jul 2024 00:10:30.000,4.886,1.000000
1 Jul 2024 00:10:40.000,3.503,1.000000
1 Jul 2024 00:10:50.000,4.381,1.000000
1 Jul 2024 00:11:00.000,2.143,1.000000
1 Jul 2024 00:11:10.000,2.229,1.000000
1 Jul 2024 00:11:20.000,4.830,1.000000
1 Jul 2024 00:11:30.000,3.967,1.000000
1 Jul 2024 00:11:40.000,4.750,1.000000
1 Jul 2024 00:11:50.000,2.484,1.000000
1 Jul 2024 00:12:00.000,1.983,1.000000
1 Jul 2024 00:12:10.000,4.794,1.000000
1 Jul 2024 00:12:20.000,4.477,1.000000
1 Jul 2024 00:12:30.000,5.106,1.000000
1 Jul 2024 00:12:40.000,2.825,1.000000
1 Jul 2024 00:12:50.000,1.741,1.000000
1 Jul 2024 00:13:00.000,4.736,1.000000
1 Jul 2024 00:13:10.000,4.966,1.000000
1 Jul 2024 00:13:20.000,5.454,1.000000
1 Jul 2024 00:13:30.000,3.155,1.000000
1 Jul 2024 00:13:40.000,1.500,1.000000
1 Jul 2024 00:13:50.000,4.712,1.000000
1 Jul 2024 00:14:00.000,5.449,1.000000
1 Jul 2024 00:14:10.000,5.800,1.000000
1 Jul 2024 00:14:20.000,3.477,1.000000
1 Jul 2024 00:14:30.000,1.271,1.000000
1 Jul 2024 00:14:40.000,4.917,1.000000
1 Jul 2024 00:14:50.000,5.935,1.000000
1 Jul 2024 00:15:00.000,6.131,1.000000
1 Jul 2024 00:15:10.000,3.795,1.000000
1 Jul 2024 00:15:20.000,1.056,1.000000
1 Jul 2024 00:15:30.000,5.135,1.000000
1 Jul 2024 00:15:40.000,6.402,1.000000
1 Jul 2024 00:15:50.000,6.457,1.000000
1 Jul 2024 00:16:00.000,4.110,1.000000
1 Jul 2024 00:16:10.000,0.843,1.000000
1 Jul 2024 00:16:20.000,5.347,1.000000
1 Jul 2024 00:16:30.000,6.850,1.000000
1 Jul 2024 00:16:40.000,6.772,1.000000
1 Jul 2024 00:16:50.000,4.382,1.000000
1 Jul 2024 00:17:00.000,0.628,1.000000
1 Jul 2024 00:17:10.000,5.554,1.000000
1 Jul 2024 00:17:20.000,7.283,1.000000
1 Jul 2024 00:17:30.000,7.070,1.000000
1 Jul 2024 00:17:40.000,4.674,1.000000
1 Jul 2024 00:17:50.000,0.429,1.000000
1 Jul 2024 00:18:00.000,5.734,1.000000
