"Time (UTCG)","q1","q2","q3","q4"
1 Jul 2024 00:00:00.000,-0.106713,-0.931398,0.316960,0.143687
1 Jul 2024 00:00:10.000,-0.632798,-0.692522,0.338215,-0.074773
1 Jul 2024 00:00:20.000,-0.919178,-0.190291,0.224734,-0.261527
1 Jul 2024 00:00:30.000,-0.856760,0.384823,0.022783,-0.342571
1 Jul 2024 00:00:40.000,-0.468846,0.814424,-0.186567,-0.286513
1 Jul 2024 00:00:50.000,0.097565,0.935152,-0.319914,-0.116733
1 Jul 2024 00:01:00.000,0.627499,0.700819,-0.324706,0.098302
1 Jul 2024 00:01:10.000,0.919615,0.200086,-0.199940,0.272577
1 Jul 2024 00:01:20.000,0.862728,-0.377091,0.003774,0.336881
1 Jul 2024 00:01:30.000,0.478140,-0.811541,0.204675,0.266253
1 Jul 2024 00:01:40.000,-0.088337,-0.938127,0.322602,0.089681
1 Jul 2024 00:01:50.000,-0.621677,-0.708533,0.310926,-0.121749
1 Jul 2024 00:02:00.000,-0.919286,-0.209715,0.174978,-0.283401
1 Jul 2024 00:02:10.000,-0.867977,0.369046,-0.030328,-0.330909
1 Jul 2024 00:02:20.000,-0.487035,0.807983,-0.222613,-0.245771
1 Jul 2024 00:02:30.000,0.079035,0.940320,-0.325020,-0.062554
1 Jul 2024 00:02:40.000,0.615338,0.715657,-0.296887,0.145095
1 Jul 2024 00:02:50.000,0.918191,0.219168,-0.149870,0.293988
1 Jul 2024 00:03:00.000,0.872503,-0.360694,0.056858,0.324661
1 Jul 2024 00:03:10.000,0.495525,-0.803752,0.240365,0.225083
1 Jul 2024 00:03:20.000,-0.069667,-0.941731,0.327167,0.035374
1 Jul 2024 00:03:30.000,-0.608486,-0.722184,0.282600,-0.168320
1 Jul 2024 00:03:40.000,-0.916332,-0.228439,0.124636,-0.304330
1 Jul 2024 00:03:50.000,-0.876303,0.352041,-0.083339,-0.318142
1 Jul 2024 00:04:00.000,-0.503601,0.798852,-0.257916,-0.204208
1 Jul 2024 00:04:10.000,0.060242,0.942357,-0.329041,-0.008165
1 Jul 2024 00:04:20.000,0.601128,0.728110,-0.268077,0.191405
1 Jul 2024 00:04:30.000,0.913710,0.237520,-0.099299,0.314418
1 Jul 2024 00:04:40.000,0.879373,-0.343095,0.109752,0.311358
1 Jul 2024 00:04:50.000,0.511259,-0.793286,0.275252,0.183162
1 Jul 2024 00:05:00.000,-0.050766,-0.942198,0.330641,-0.019051
1 Jul 2024 00:05:10.000,-0.593269,-0.733429,0.253330,-0.214330
1 Jul 2024 00:05:20.000,-0.910326,-0.246403,0.073879,-0.324244
1 Jul 2024 00:05:30.000,-0.881710,0.333864,-0.136072,-0.304314
1 Jul 2024 00:05:40.000,-0.518490,0.787059,-0.292358,-0.161963
1 Jul 2024 00:05:50.000,0.041248,0.941254,-0.331965,0.046250
1 Jul 2024 00:06:00.000,0.584916,0.738138,-0.238372,0.237075
1 Jul 2024 00:06:10.000,0.906184,0.255080,-0.048398,0.333799
1 Jul 2024 00:06:20.000,0.883313,-0.324354,0.162278,0.297017
1 Jul 2024 00:06:30.000,0.525290,-0.780177,0.309220,0.140630
1 Jul 2024 00:06:40.000,-0.031695,-0.939526,0.333012,-0.073411
1 Jul 2024 00:06:50.000,-0.576075,-0.742232,0.223216,-0.259623
1 Jul 2024 00:07:00.000,-0.901288,-0.263546,0.022877,-0.343075
1 Jul 2024 00:07:10.000,-0.884180,0.314573,-0.188349,-0.289471
