"Time (UTCG)","Power (W)","Solar Intensity"
1 Jul 2024 00:00:00.000,7.664,1.000000
1 Jul 2024 00:00:10.000,2.978,1.000000
1 Jul 2024 00:00:20.000,5.704,1.000000
1 Jul 2024 00:00:30.000,10.056,1.000000
1 Jul 2024 00:00:40.000,8.167,1.000000
1 Jul 2024 00:00:50.000,6.652,1.000000
1 Jul 2024 00:01:00.000,1.811,1.000000
1 Jul 2024 00:01:10.000,6.518,1.000000
1 Jul 2024 00:01:20.000,10.155,1.000000
1 Jul 2024 00:01:30.000,8.858,1.000000
1 Jul 2024 00:01:40.000,6.482,1.000000
1 Jul 2024 00:01:50.000,0.716,1.000000
1 Jul 2024 00:02:00.000,7.158,1.000000
1 Jul 2024 00:02:10.000,9.884,1.000000
1 Jul 2024 00:02:20.000,9.317,1.000000
1 Jul 2024 00:02:30.000,6.089,1.000000
1 Jul 2024 00:02:40.000,0.765,1.000000
1 Jul 2024 00:02:50.000,7.553,1.000000
1 Jul 2024 00:03:00.000,9.420,1.000000
1 Jul 2024 00:03:10.000,9.343,1.000000
1 Jul 2024 00:03:20.000,5.642,1.000000
1 Jul 2024 00:03:30.000,2.105,1.000000
1 Jul 2024 00:03:40.000,7.602,1.000000
1 Jul 2024 00:03:50.000,8.546,1.000000
1 Jul 2024 00:04:00.000,9.160,1.000000
1 Jul 2024 00:04:10.000,4.943,1.000000
1 Jul 2024 00:04:20.000,3.409,1.000000
1 Jul 2024 00:04:30.000,8.731,1.000000
1 Jul 2024 00:04:40.000,7.424,1.000000
1 Jul 2024 00:04:50.000,8.587,1.000000
1 Jul 2024 00:05:00.000,4.097,1.000000
1 Jul 2024 00:05:10.000,4.559,1.000000
1 Jul 2024 00:05:20.000,9.509,1.000000
1 Jul 2024 00:05:30.000,7.220,1.000000
1 Jul 2024 00:05:40.000,7.804,1.000000
1 Jul 2024 00:05:50.000,3.069,1.000000
1 Jul 2024 00:06:00.000,5.584,1.000000
1 Jul 2024 00:06:10.000,10.002,1.000000
1 Jul 2024 00:06:20.000,8.130,1.000000
1 Jul 2024 00:06:30.000,6.754,1.000000
1 Jul 2024 00:06:40.000,2.010,1.000000
1 Jul 2024 00:06:50.000,6.433,1.000000
1 Jul 2024 00:07:00.000,10.118,1.000000
1 Jul 2024 00:07:10.000,8.836,1.000000
1 Jul 2024 00:07:20.000,6.542,1.000000
1 Jul 2024 00:07:30.000,0.867,1.000000
1 Jul 2024 00:07:40.000,7.080,1.000000
1 Jul 2024 00:07:50.000,9.963,1.000000
1 Jul 2024 00:08:00.000,9.209,1.000000
1 Jul 2024 00:08:10.000,6.156,1.000000
1 Jul 2024 00:08:20.000,0.667,1.000000
1 Jul 2024 00:08:30.000,7.490,1.000000
1 Jul 2024 00:08:40.000,9.454,1.000000
1 Jul 2024 00:08:50.000,9.346,1.000000
1 Jul 2024 00:09:00.000,5.715,1.000000
1 Jul 2024 00:09:10.000,1.991,1.000000
1 Jul 2024 00:09:20.000,7.653,1.000000
1 Jul 2024 00:09:30.000,8.653,1.000000
1 Jul 2024 00:09:40.000,9.145,1.000000
1 Jul 2024 00:09:50.000,5.073,1.000000
1 Jul 2024 00:10:00.000,3.241,1.000000
1 Jul 2024 00:10:10.000,8.603,1.000000
